Customer ID,Customer Type,Personality,House Size,Key Desires,Future Plan,Main Activity,Budget,Preferred Style,Purchase Frequency,Recommendation Score,Customer Reviews,Suggested Products
1,Member,Practical,Large House,Durability,Work from home,Reading,Medium,Cozy,Monthly,42,0.37,"['Rustic Bookshelf', 'Adjustable Standing Desk']"
2,Member,Minimalist,Large House,Aesthetic,Travel,Reading,Medium,Modern,Rarely,59,-0.65,"['Storage Organizers', 'Outdoor Patio Chair']"
3,Normal,Minimalist,Medium House,Aesthetic,Work from home,Reading,High,Cozy,Rarely,36,0.99,"['Padded Dining Chair', 'Smart Office Desk']"
4,Member,Trendy,Large House,Comfort,Relax at home,Watching TV,Medium,Modern,Rarely,54,-0.01,"['Chaise Sofas', '2 Seater sofa']"
5,Member,Practical,Medium House,Aesthetic,Work from home,Watching TV,Medium,Minimalist,Monthly,27,0.69,"['Padded Dining Chair', 'Adjustable Standing Desk']"
6,Member,Trendy,Medium House,Aesthetic,Relax at home,Gaming,Medium,Minimalist,Rarely,29,0.91,"['Chaise Sofas', '2 Seater sofa']"
7,Normal,Trendy,Small Apartment,Comfort,Work from home,Exercising,Low,Minimalist,Rarely,86,-0.72,"['Adjustable Standing Desk', 'Smart Office Desk']"
8,Member,Minimalist,Small Apartment,Durability,Travel,Gaming,Low,Modern,Rarely,88,-0.6,"['Foldable Sun Lounger', 'Travel Bags']"
9,Normal,Minimalist,Small Apartment,Comfort,Relax at home,Gaming,Low,Minimalist,Rarely,97,-0.08,"['Luxury Bean Bag', 'Upholstered armchair']"
10,Member,Minimalist,Large House,Durability,Move,Watching TV,Medium,Cozy,Occasionally,68,0.94,"['6-Piece Outdoor Dining Set', 'Compact Shoe Rack']"
11,Member,Minimalist,Medium House,Durability,Work from home,Exercising,Medium,Luxurious,Occasionally,41,0.18,"['Smart Office Desk', 'Rustic Bookshelf']"
12,Member,Trendy,Large House,Aesthetic,Work from home,Reading,Low,Minimalist,Monthly,48,0.98,"['Rustic Bookshelf', 'Adjustable Standing Desk']"
13,Normal,Practical,Large House,Durability,Relax at home,Watching TV,High,Luxurious,Rarely,65,-0.74,"['Chaise Sofas', 'Upholstered armchair']"
14,Member,Minimalist,Small Apartment,Durability,Travel,Gaming,Medium,Luxurious,Monthly,29,-0.37,"['Storage Organizers', 'Outdoor Patio Chair']"
15,Member,Trendy,Large House,Durability,Travel,Gaming,Medium,Minimalist,Occasionally,52,0.26,"['Foldable Sun Lounger', 'Portable Furniture']"
16,Member,Practical,Medium House,Durability,Travel,Exercising,Low,Cozy,Occasionally,37,-0.83,"['Outdoor Patio Chair', 'Foldable Sun Lounger']"
17,Member,Minimalist,Small Apartment,Durability,Work from home,Exercising,Medium,Minimalist,Occasionally,7,-0.29,"['Padded Dining Chair', 'Rustic Bookshelf']"
18,Normal,Practical,Small Apartment,Comfort,Travel,Exercising,Medium,Modern,Rarely,50,1.0,"['Portable Furniture', 'Outdoor Patio Chair']"
19,Member,Trendy,Large House,Durability,Relax at home,Reading,High,Cozy,Rarely,60,-1.0,"['Luxury Bean Bag', 'Upholstered armchair']"
20,Member,Minimalist,Medium House,Aesthetic,Relax at home,Watching TV,Low,Cozy,Rarely,21,-0.97,"['2 Seater sofa', 'Upholstered armchair']"
21,Normal,Practical,Medium House,Aesthetic,Relax at home,Reading,High,Cozy,Occasionally,26,-0.77,"['Luxury Bean Bag', 'Upholstered armchair']"
22,Member,Trendy,Small Apartment,Durability,Relax at home,Gaming,Medium,Luxurious,Monthly,5,-0.88,"['Chaise Sofas', '2 Seater sofa']"
23,Normal,Practical,Small Apartment,Aesthetic,Travel,Gaming,High,Luxurious,Occasionally,58,-0.29,"['Foldable Sun Lounger', 'Travel Bags']"
24,Normal,Minimalist,Small Apartment,Comfort,Move,Reading,High,Luxurious,Occasionally,100,0.34,"['Sliding Door Wardrobe', 'Ottoman Storage Bench']"
25,Normal,Practical,Large House,Aesthetic,Work from home,Watching TV,Medium,Cozy,Occasionally,91,-0.76,"['Adjustable Standing Desk', 'Smart Office Desk']"
26,Member,Minimalist,Large House,Comfort,Move,Gaming,Low,Minimalist,Occasionally,50,-0.25,"['6-Piece Outdoor Dining Set', 'Compact Shoe Rack']"
27,Member,Practical,Medium House,Comfort,Move,Gaming,Low,Minimalist,Monthly,90,-0.99,"['Sliding Door Wardrobe', 'Ottoman Storage Bench']"
